qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst
20,115,12,6,10,114,118
22,117,14,12,24,117,117
22,120,6,8,8,114,119
22,120,25,12,6,117,119
18,121,14,12,14,115,117
22,121,14,15,22,116,121
22,119,12,8,10,115,115
22,123,16,16,18,121,124
22,118,14,6,14,113,118
18,117,14,10,12,115,117
21,122,16,8,16,116,122
22,127,12,12,24,119,130
16,123,10,10,6,115,120
21,121,15,11,17,116,118
21,121,15,11,17,116,118
20,127,18,12,12,116,117
20,122,16,14,18,118,125
22,124,27,10,10,116,115
22,123,16,12,14,118,122
22,119,12,12,14,117,120
21,118,13,8,12,113,122
21,120,16,10,14,117,118
22,123,16,10,14,116,122
20,120,18,16,20,119,120
20,119,4,6,4,113,119
22,124,27,14,16,117,117
22,121,19,8,14,114,118
21,125,31,8,12,113,118
22,118,14,6,14,114,118
22,118,24,6,24,113,118
22,122,8,8,8,115,122
20,120,18,14,22,117,120
22,124,15,10,14,114,121
22,127,31,8,27,116,121
20,122,16,12,11,118,122
16,117,11,6,12,115,119
22,120,23,8,12,115,115
22,122,27,13,26,117,121
22,124,18,12,18,121,123
22,121,15,8,12,112,118
16,119,13,6,8,113,114
20,124,18,12,10,117,115
17,120,18,12,22,117,119
14,119,11,6,10,113,114
22,119,14,12,6,116,117
18,121,18,14,14,117,120
21,123,12,10,10,114,118
22,121,16,8,12,114,118
16,119,13,8,12,115,122
21,122,17,8,12,115,119
22,122,15,14,10,118,116
22,118,14,6,12,116,116
20,119,10,16,11,119,119
22,125,27,10,10,116,116
16,115,4,4,4,113,116
22,120,15,13,27,118,119
22,118,13,6,8,113,115
22,130,16,8,8,116,121
22,123,18,10,10,116,123
22,120,16,10,20,115,122
20,120,13,10,13,113,119
22,118,12,12,12,116,118
22,119,12,10,12,117,121
22,118,14,12,14,116,118
20,119,12,12,24,119,119
22,126,20,8,18,116,122
22,126,18,14,16,122,121
16,118,20,6,17,114,118
20,122,18,10,14,115,116
21,129,18,12,14,117,119
22,116,11,11,11,115,118
18,127,21,10,12,116,116
22,125,29,8,25,116,123
22,117,4,4,4,115,118
20,120,20,10,14,116,118
22,117,14,6,14,114,117
22,124,8,12,10,117,115
16,115,10,8,9,114,115
19,122,16,10,16,115,118
22,126,20,14,22,119,122
22,118,12,6,24,113,120
22,122,27,8,14,115,118
21,122,17,10,10,117,117
21,123,16,10,14,114,123
22,124,18,12,10,118,117
22,122,15,17,15,121,121
18,124,18,16,19,118,122
22,120,16,12,12,119,123
22,121,17,10,10,117,117
22,118,14,6,14,114,118
22,120,20,10,10,116,118
16,120,14,4,10,113,115
21,122,17,8,12,115,119
18,125,18,10,12,116,118
22,124,20,12,12,118,122
22,117,14,14,23,117,119
22,118,12,10,15,117,121
22,121,26,10,24,119,120
22,125,17,10,12,116,118
20,115,10,6,8,111,120
20,118,12,8,12,114,122
22,121,18,12,14,115,118
22,116,4,6,17,111,121
22,121,14,10,14,117,115
22,121,16,12,10,114,119
22,121,14,14,12,117,115
22,121,27,8,24,115,120
21,121,25,14,8,119,120
22,126,12,14,8,119,117
21,116,12,12,24,116,118
22,120,15,13,27,118,119
22,130,16,8,8,116,121
20,118,20,10,4,113,116
21,130,26,12,22,117,122
18,121,18,14,20,117,120
22,116,12,8,12,114,116
22,116,10,6,22,113,121
22,126,29,12,16,120,123
22,122,25,6,14,113,119
21,123,18,14,20,119,121
22,119,14,12,12,115,120
22,117,14,6,14,113,117
22,124,27,10,22,116,122
20,112,10,4,10,113,112
20,120,10,6,17,116,121
22,121,16,6,19,117,121
22,118,6,15,12,116,119
18,127,20,18,18,122,122
22,123,16,12,14,116,117
20,123,8,8,12,114,117
22,116,11,11,11,115,118
20,123,15,8,12,115,118
20,122,6,12,6,116,123
20,119,14,16,14,118,120
20,117,16,4,10,111,114
18,127,20,18,18,122,121
22,125,20,8,14,116,119
18,121,14,12,14,115,116
22,118,12,12,24,117,117
21,125,29,12,14,116,118
16,114,4,4,4,113,116
18,124,18,14,10,118,116
22,121,14,12,11,116,117
22,116,12,8,12,115,116
22,118,12,12,12,115,118
21,116,12,12,24,117,118
20,128,20,14,20,118,120
22,118,12,12,12,116,118
22,121,24,10,8,117,115
22,117,14,12,14,115,117
20,118,15,6,12,117,117
21,129,24,14,12,119,122
22,124,19,8,18,116,122
20,123,8,8,12,114,117
22,127,20,10,26,119,128
22,122,16,10,10,117,124
22,122,25,10,8,115,115
