qiskit,shp_reduced,multiedge,qiskit_dense
502,2937,3770,2733
502,3011,3319,2141
502,3073,3286,2509
502,2891,3887,2796
502,3089,3731,2476
502,3121,3697,2609
502,3086,3530,2714
502,2760,3675,2890
502,3117,3426,2040
502,3005,3601,2321
502,2796,3358,2256
502,2885,3288,2491
502,3063,3945,2349
502,3045,3664,2306
502,3011,3817,2908
502,3087,3503,2770
502,2856,3730,2543
502,3040,4191,2331
502,2649,3345,2673
502,3062,3928,2168
502,2874,3509,2404
502,3070,3808,2290
502,2919,3382,2268
502,2890,3404,2486
502,3091,3793,2435
502,3078,3774,2401
502,2871,3338,2606
502,2725,3700,2940
502,3057,3653,2691
502,2955,3607,2499
502,2690,4097,2357
502,2597,3665,2047
502,3135,3855,2201
502,2964,3984,2971
502,3070,3990,2364
502,3068,3634,2427
502,3044,3537,2363
502,3139,3578,2939
502,2645,3737,2599
502,3074,3491,2539
502,3243,3505,2629
502,2993,3645,2776
502,2914,3504,2900
502,2650,3704,2563
502,2971,3738,2784
502,2881,3733,2600
502,2966,3901,2437
502,2995,3571,2596
502,2963,3690,2483
502,3147,3777,2702
502,2873,3768,2346
502,3020,3625,2841
502,2996,3710,2343
502,3053,3375,2542
502,3266,3395,2096
502,2789,4201,2534
502,2993,3799,2827
502,3176,3552,2716
502,2966,3915,2752
502,2992,3703,2543
502,2973,3570,2921
502,2844,3787,2377
502,2894,3444,2414
502,3125,3200,2148
502,3087,3600,2258
502,3152,3571,2205
502,3129,3898,2638
502,2923,3992,2768
502,2750,3508,2484
502,2690,3752,2396
502,2702,3474,2861
502,3013,3487,2838
502,3015,3765,2566
502,3395,3385,2138
502,2756,3217,2570
502,3017,3784,2907
502,3091,3759,1893
502,2793,3587,2600
502,2945,3405,2753
502,2924,3640,2651
502,2812,3594,2277
502,3070,3583,2391
502,3141,3963,2230
502,3079,3425,2301
502,3009,3749,2568
502,3044,3528,2599
502,2982,3746,2084
502,3027,3846,2745
502,3101,3544,3187
502,2958,3755,2762
502,3153,3821,2663
502,2776,3665,2478
502,2858,3712,2591
