qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi
120,1571,1409,731,687,723,634,
120,1476,1387,936,625,767,672,
120,1353,1571,949,747,761,633,
120,1240,1657,842,686,773,671,
120,1391,1241,671,623,731,619,
120,1443,1714,625,689,679,622,
120,1311,1566,984,628,727,671,
120,1604,1464,846,645,767,557,
120,1331,1524,982,639,759,572,
120,1380,1250,666,580,719,644,
120,1498,1610,796,641,771,627,
120,1248,1550,922,628,751,626,
120,1473,1373,652,646,736,607,
120,1355,1417,704,636,751,622,
120,1347,1423,1132,609,747,599,
120,1555,1577,981,624,739,626,
120,1516,1446,963,639,732,675,
120,1309,1444,956,641,796,637,
120,1492,1391,950,678,787,693,
120,1452,1434,960,568,742,620,
120,1491,1613,714,622,748,646,
120,1545,1323,857,731,781,625,
120,1382,1374,710,641,738,578,
120,1313,1206,659,642,757,637,
120,1500,1549,840,544,698,557,
120,1615,1340,586,589,683,617,
120,1349,1469,977,672,720,586,
120,1391,1361,514,658,689,613,
120,1471,1364,793,622,713,644,
120,1392,1296,589,633,715,594,
120,1500,1272,648,610,780,646,
120,1410,1374,792,704,768,688,
120,1396,1446,916,680,730,642,
120,1538,1531,604,625,699,567,
120,1463,1505,682,637,758,639,
120,1500,1401,595,609,756,646,
120,1533,1266,611,680,731,629,
120,1347,1519,644,646,697,605,
120,1455,1261,782,655,713,629,
120,1130,1305,660,629,708,641,
120,1525,1626,855,713,746,673,
120,1589,1394,792,590,750,620,
120,1521,1526,617,626,700,641,
120,1534,1397,704,680,695,634,
120,1506,1613,762,654,739,666,
120,1415,1630,741,580,748,670,
120,1378,1432,762,627,758,580,
120,1625,1421,800,697,771,666,
120,1685,1423,771,583,742,651,
120,1404,1380,722,616,708,614,
120,1324,1445,646,636,715,547,
120,1394,1658,795,690,752,651,
120,1425,1533,860,614,822,669,
120,1436,1403,870,629,754,594,
120,1457,1481,779,637,749,608,
120,1318,1345,490,627,728,576,
120,1548,1277,635,565,714,614,
120,1440,1588,1047,609,774,638,
120,1368,1489,817,663,846,609,
120,1323,1421,672,624,689,645,
120,1374,1363,438,596,739,592,
120,1254,1461,864,633,716,638,
120,1560,1350,519,623,775,656,
120,1464,1430,818,662,714,613,
120,1595,1570,978,658,687,642,
120,1416,1478,910,660,757,703,
120,1478,1650,851,632,725,655,
120,1466,1457,714,647,730,674,
120,1350,1276,820,673,747,553,
120,1379,1503,575,640,728,646,
120,1516,1364,759,661,691,659,
120,1459,1328,1081,659,717,714,
120,1290,1378,784,587,698,576,
120,1253,1219,745,607,770,555,
120,1384,1388,941,594,700,629,
120,1436,1432,599,616,800,648,
120,1461,1458,849,628,778,608,
120,1363,1361,780,706,692,674,
120,1493,1506,709,648,743,636,
120,1496,1370,592,575,689,639,
