qiskit,shp_reduced,shp,random,random_reduced,mst,mst_reduced,linear,linear_reduced,graycode_reduced,qiskit_dense,multiedge_dense,multiedge
2036,126,3252,3269,155,3241,116,3269,130,134,172,312,143
2036,107,3244,3275,153,3229,103,3269,112,127,141,386,126
2036,108,3241,3282,163,3233,103,3258,118,128,118,311,143
2036,112,3241,3266,171,3233,114,3268,142,133,134,329,130
2036,118,3246,3269,165,3238,123,3259,134,141,145,359,155
2036,106,3241,3261,116,3236,103,3259,114,111,105,334,147
2036,124,3252,3275,162,3243,116,3268,147,135,139,331,147
2036,96,3240,3261,180,3231,94,3272,169,157,134,356,116
2036,84,3239,3254,156,3230,109,3260,133,148,113,332,136
2036,115,3251,3279,175,3240,109,3261,146,140,154,390,148
2036,86,3240,3258,173,3236,97,3253,109,124,117,348,138
2036,121,3247,3268,141,3234,140,3277,146,158,143,362,158
2036,80,3234,3267,189,3230,131,3242,132,189,148,379,147
2036,128,3244,3272,148,3237,119,3254,129,137,148,361,127
2036,93,3242,3261,227,3232,126,3262,138,119,149,296,179
2036,105,3242,3287,152,3233,112,3253,128,134,128,347,147
2036,99,3243,3263,169,3234,111,3272,143,123,125,303,140
2036,106,3240,3279,176,3231,114,3273,169,136,119,352,144
2036,108,3247,3285,145,3237,118,3278,161,133,127,406,145
2036,152,3243,3289,166,3225,107,3257,142,137,137,364,125
2036,121,3244,3266,149,3241,114,3260,122,93,147,315,137
1990,95,3240,3269,184,3235,127,3267,136,152,147,392,161
2036,155,3241,3271,169,3235,115,3250,138,144,142,356,142
2036,118,3241,3278,125,3236,112,3271,167,125,133,456,147
2036,111,3246,3263,143,3233,98,3256,113,113,121,400,132
2036,131,3239,3259,155,3228,87,3262,108,115,147,329,140
2036,106,3242,3263,157,3240,113,3257,111,107,139,341,140
2036,142,3248,3274,210,3232,103,3233,110,148,98,394,133
2036,125,3249,3283,169,3244,145,3276,160,137,142,370,163
2036,88,3239,3269,139,3228,108,3260,158,113,134,394,170
2036,100,3238,3271,203,3224,106,3272,179,122,160,315,148
2036,120,3245,3276,163,3245,119,3268,140,138,144,314,159
2036,133,3249,3288,152,3242,153,3272,146,152,122,385,147
2036,121,3240,3266,183,3237,130,3271,126,124,140,394,154
2036,121,3246,3253,183,3238,113,3276,142,126,129,313,158
2036,96,3248,3254,188,3238,99,3257,113,154,160,322,128
2036,139,3243,3274,167,3239,130,3276,151,168,149,334,157
2036,113,3245,3275,145,3238,122,3253,114,125,150,330,148
2036,125,3250,3271,144,3238,119,3266,121,135,131,350,159
